,EMA,CMO,MINUSDM,PLUSDM,CLOSE,CLOSEL1,CLOSEL2,CLOSEL3,3O,CMB,UP_DOWN
20,9187.334023809524,39.706967429113774,60.70900000000065,216.01100000000096,9235.01,9238.51,9240.35,9232.0,0,0,1
21,9192.207926303856,40.47747275717997,69.653550000002,205.21045000000092,9238.51,9240.35,9232.0,9226.01,0,0,1
22,9196.79288570349,40.89545283803963,75.15087250000147,194.94992750000088,9240.35,9232.0,9226.01,9248.72,0,0,0
23,9200.14594420792,36.32260096143812,71.3933288750014,186.8724311250009,9232.0,9226.01,9248.72,9238.45,0,0,0
24,9202.609187616688,33.06153614191271,75.24366243125141,177.52880956875086,9226.01,9248.72,9238.45,9237.88,0,0,1
25,9207.000693557957,38.895104360310725,71.48147930968884,171.79236909031275,9248.72,9238.45,9237.88,9237.02,0,1,0
26,9209.995865600056,33.362593490095335,67.90740534420439,176.4427506357969,9238.45,9237.88,9237.02,9209.68,0,0,0
27,9212.65149744767,33.05296515200314,72.17203507699402,167.62061310400705,9237.88,9237.02,9209.68,9204.88,0,0,0
28,9214.972307214559,32.56416335410495,73.33343332314476,159.2395824488067,9237.02,9209.68,9204.88,9208.0,0,0,0
29,9214.46827795603,18.051229809144388,92.87676165698664,151.27760332636635,9209.68,9204.88,9208.0,9208.45,0,0,0
30,9213.555108626884,15.710131874597572,124.42292357413783,143.71372316004803,9204.88,9208.0,9208.45,9210.06,0,0,1
31,9213.02605066242,16.83852645972764,118.20177739543094,140.378037002046,9208.0,9208.45,9210.06,9206.45,0,0,1
32,9212.590236313617,17.00720519006263,140.1116885256591,133.3591351519437,9208.45,9210.06,9206.45,9197.01,0,0,1
33,9212.349261426607,17.636368503849866,133.10610409937615,129.72117839434716,9210.06,9206.45,9197.01,9242.58,0,0,0
34,9211.787427005025,15.568512723598696,135.08079889440654,123.23511947462981,9206.45,9197.01,9242.58,9246.92,0,0,0
35,9210.380053004546,10.234695482182445,139.53675894968717,117.07336350089832,9197.01,9242.58,9246.92,9195.0,0,0,1
36,9213.446714623162,27.28735047273171,132.5599210022028,148.22969532585364,9242.58,9246.92,9195.0,9048.92,0,1,1
37,9216.634646563813,28.64625014579819,125.93192495209266,154.55821055956073,9246.92,9195.0,9048.92,9044.36,1,0,0
38,9214.574204033926,4.138196358017146,151.65532870448664,146.8303000315827,9195.0,9048.92,9044.36,9066.34,0,0,0
39,9198.797613173552,-33.42460181947363,309.1125622692632,139.48878503000358,9048.92,9044.36,9066.34,9066.11,0,0,0
40,9184.089269061786,-34.20442306308576,378.65693415580006,132.5143457785034,9044.36,9066.34,9066.11,9055.15,0,0,1
41,9172.875052960664,-26.6758223948672,359.72408744801004,135.6786284895773,9066.34,9066.11,9055.15,9077.5,0,0,0
42,9162.706952678696,-26.72110202853832,341.73788307560955,130.31469706509853,9066.11,9055.15,9077.5,9126.55,0,0,0
43,9152.463433375964,-28.922737971507186,324.6509889218291,123.7989622118436,9055.15,9077.5,9126.55,9099.81,0,0,1
44,9145.324058768729,-21.111914634266704,308.4184394757376,124.5990141012512,9077.5,9126.55,9099.81,9086.54,0,0,1
45,9143.536053171707,-6.24221215944762,292.9975175019507,183.36906339618864,9126.55,9099.81,9086.54,9097.77,1,0,0
46,9139.371667155354,-12.413175627416107,278.34764162685315,174.2006102263792,9099.81,9086.54,9097.77,9107.92,0,0,0
47,9134.340079807225,-15.324491651588183,265.81025954550967,165.49057971506025,9086.54,9097.77,9107.92,9096.58,0,0,1
48,9130.85721506368,-12.00795599805522,266.51974656823415,157.21605072930723,9097.77,9107.92,9096.58,9092.84,0,0,1
49,9128.672718390948,-9.024966234438514,253.19375923982244,165.46524819284244,9107.92,9096.58,9092.84,9095.21,0,0,0
50,9125.616269020382,-11.787801212129386,240.53407127783132,157.19198578320032,9096.58,9092.84,9095.21,9109.56,0,0,0
51,9122.49471958987,-12.70812675533499,235.18736771394003,149.3323864940403,9092.84,9095.21,9109.56,9095.7,0,0,1
52,9119.896174867024,-11.929177299083067,234.7179993282421,141.86576716933828,9095.21,9109.56,9095.7,9105.05,0,0,1
53,9118.91177726064,-7.206845335670653,222.98209936183,150.18247881087123,9109.56,9095.7,9105.05,9101.0,0,0,0
54,9116.701131807245,-11.0234441946069,211.8329943937385,146.3733548703284,9095.7,9105.05,9101.0,9077.75,0,0,1
55,9115.591500206556,-7.872814500202259,205.00134467405178,139.05468712681198,9105.05,9101.0,9077.75,9076.53,0,0,0
56,9114.201833520217,-9.04962615664882,194.75127744034918,148.10195277047137,9101.0,9077.75,9076.53,9097.0,0,0,0
57,9110.730230327816,-15.567042822943028,239.73371356833107,140.6968551319478,9077.75,9076.53,9097.0,9107.98,0,0,0
58,9107.47306553469,-15.899917446710923,227.7470278899145,133.66201237535043,9076.53,9097.0,9107.98,9088.24,0,0,1
59,9106.475630721863,-8.355039642589594,216.35967649541877,141.48891175658312,9097.0,9107.98,9088.24,9086.63,0,1,1
60,9106.618903986448,-4.513525181291129,205.54169267064782,148.01446616875432,9107.98,9088.24,9086.63,9100.39,0,0,0
61,9104.868532178214,-10.517160668009609,195.26460803711544,149.01374286031626,9088.24,9086.63,9100.39,9089.27,0,1,0
62,9103.131529113622,-10.997589812812562,198.17137763525974,141.56305571730044,9086.63,9100.39,9089.27,9088.23,0,0,1
63,9102.8704311028,-5.883292408983669,188.26280875349676,140.17490293143592,9100.39,9089.27,9088.23,9079.26,0,0,0
64,9101.575151950152,-9.433098957690072,178.84966831582193,141.47615778486363,9089.27,9088.23,9079.26,9085.72,0,0,0
